text,label
"The earth is flat and scientists have been lying to us for centuries.",Fake
"A new study shows that drinking 10 liters of water a day cures all diseases.",Fake
"Alien spaceships spotted over New York City last night, government covers it up.",Fake
"Eating raw garlic every morning makes you immune to the flu, doctors say.",Fake
"NASA confirms the moon is actually an artificial satellite built by ancient civilizations.",Fake
"Global stocks gain as inflation fears ease following the latest Federal Reserve report.",Real
"The new smartphone from TechGiant features a longer battery life and better camera.",Real
"Scientists discover a new species of deep-sea jellyfish in the Mariana Trench.",Real
"Local community organizes a weekend clean-up drive at the city park.",Real
"The national soccer team advances to the finals after a thrilling 2-1 victory.",Real
